step,val_macro_em,reward_mean,avg_turns,clip_ratio,success_rate
307,,0.577,3.18,0.014,0.439
308,,0.56,3.146,0.015,0.426
309,,0.539,3.212,0.027,0.402
310,,0.585,3.148,0.019,0.448
311,,0.537,3.186,0.023,0.405
312,,0.57,3.177,0.019,0.427
313,,0.581,3.191,0.019,0.441
314,,0.546,3.24,0.015,0.405
315,,0.573,3.198,0.02,0.428
316,,0.585,3.176,0.02,0.445
317,,0.595,3.17,0.025,0.45
318,,0.536,3.182,0.019,0.394
319,,0.625,3.162,0.03,0.478
320,,0.572,3.152,0.022,0.431
321,,0.619,3.151,0.029,0.481
322,,0.559,3.122,0.017,0.419
323,,0.554,3.126,0.021,0.42
324,,0.546,3.172,0.026,0.409
325,0.357,0.516,3.103,0.017,0.388
326,,0.563,3.188,0.02,0.424
327,,0.547,3.178,0.018,0.413
328,,0.567,3.145,0.016,0.437
329,,0.587,3.123,0.02,0.448
330,,0.584,3.058,0.017,0.439
331,,0.556,3.098,0.02,0.416
332,,0.592,3.077,0.02,0.449
333,,0.521,3.09,0.022,0.389
334,,0.524,3.111,0.022,0.384
335,,0.592,3.117,0.018,0.454
336,,0.54,3.111,0.014,0.409
337,,0.534,3.12,0.025,0.402
338,,0.562,3.098,0.016,0.418
339,,0.552,3.088,0.015,0.42
340,,0.557,3.07,0.013,0.424
341,,0.58,3.094,0.02,0.44
342,,0.58,3.109,0.015,0.443
343,,0.557,3.103,0.02,0.416
344,,0.598,3.085,0.019,0.455
345,,0.583,3.144,0.023,0.447
346,,0.565,3.134,0.024,0.427
347,,0.561,3.13,0.024,0.419
348,,0.522,3.132,0.018,0.386
349,,0.542,3.139,0.022,0.408
350,0.351,0.585,3.098,0.016,0.444
351,,0.531,3.098,0.019,0.401
352,,0.564,3.095,0.025,0.426
353,,0.525,3.095,0.028,0.388
354,,0.553,3.077,0.026,0.414
355,,0.568,3.08,0.028,0.424
356,,0.538,3.084,0.024,0.401
357,,0.589,3.079,0.022,0.452
358,,0.564,3.098,0.02,0.422
359,,0.622,3.08,0.02,0.478
360,,0.652,3.075,0.022,0.503
361,,0.578,3.071,0.02,0.441
362,,0.571,3.091,0.019,0.439
363,,0.603,3.106,0.019,0.463
364,,0.569,3.141,0.023,0.431
365,,0.569,3.127,0.026,0.428
366,,0.536,3.114,0.028,0.408
367,,0.59,3.096,0.021,0.443
368,,0.563,3.088,0.02,0.422
369,,0.588,3.113,0.026,0.445
370,,0.544,3.121,0.023,0.407
371,,0.524,3.102,0.027,0.395
372,,0.593,3.102,0.024,0.453
373,,0.537,3.099,0.022,0.401
374,,0.543,3.112,0.025,0.411
375,0.353,0.573,3.104,0.023,0.434
376,,0.531,3.084,0.018,0.398
377,,0.591,3.138,0.026,0.455
378,,0.559,3.141,0.021,0.424
379,,0.526,3.159,0.023,0.391
380,,0.599,3.166,0.024,0.469
381,,0.555,3.135,0.027,0.419
382,,0.549,3.155,0.029,0.419
383,,0.556,3.15,0.031,0.419
384,,0.545,3.164,0.028,0.415
385,,0.615,3.155,0.026,0.47
386,,0.524,3.184,0.04,0.387
387,,0.574,3.157,0.027,0.432
388,,0.571,3.167,0.031,0.43
389,,0.585,3.173,0.026,0.441
390,,0.615,3.097,0.032,0.472
391,,0.583,3.097,0.032,0.45
392,,0.527,3.109,0.033,0.398
393,,0.557,3.109,0.034,0.416
394,,0.575,3.104,0.031,0.435
395,,0.516,3.133,0.04,0.395
396,,0.583,3.055,0.028,0.441
397,,0.536,3.055,0.032,0.399
398,,0.553,3.052,0.027,0.416
399,,0.555,3.078,0.032,0.416
400,0.373,0.536,3.073,0.025,0.409
401,,0.542,3.08,0.031,0.406
402,,0.547,3.091,0.034,0.409
403,,0.576,3.091,0.037,0.441
404,,0.615,3.07,0.024,0.473
405,,0.641,3.091,0.028,0.493
406,,0.513,3.096,0.032,0.377
407,,0.614,3.088,0.028,0.466
408,,0.553,3.099,0.028,0.419
409,,0.488,3.101,0.026,0.355
410,,0.611,3.062,0.022,0.47
411,,0.618,3.099,0.036,0.468
412,,0.6,3.077,0.027,0.465
413,,0.559,3.083,0.031,0.414
414,,0.595,3.068,0.023,0.453
415,,0.57,3.052,0.021,0.434
416,,0.683,3.06,0.018,0.537
417,,0.535,3.084,0.026,0.399
418,,0.553,3.061,0.023,0.407
419,,0.521,3.079,0.028,0.391
420,,0.602,3.073,0.024,0.456
421,,0.613,3.071,0.024,0.473
422,,0.583,3.075,0.027,0.441
423,,0.564,3.101,0.028,0.423
424,,0.616,3.112,0.033,0.477
425,0.349,0.537,3.091,0.033,0.404
426,,0.538,3.084,0.028,0.41
427,,0.582,3.122,0.03,0.44
428,,0.588,3.098,0.034,0.449
429,,0.509,3.118,0.032,0.374
430,,0.574,3.085,0.027,0.437
431,,0.611,3.1,0.033,0.464
432,,0.551,3.111,0.034,0.416
433,,0.509,3.11,0.037,0.37
434,,0.632,3.12,0.037,0.491
435,,0.582,3.099,0.031,0.437
436,,0.522,3.128,0.034,0.378
437,,0.541,3.096,0.028,0.402
438,,0.596,3.141,0.036,0.453
439,,0.56,3.185,0.039,0.427
440,,0.569,3.213,0.043,0.426
441,,0.573,3.198,0.043,0.43
442,,0.571,3.105,0.027,0.426
443,,0.566,3.121,0.03,0.422
444,,0.634,3.147,0.027,0.484
445,,0.547,3.186,0.033,0.404
446,,0.555,3.141,0.031,0.43
447,,0.602,3.137,0.036,0.462
448,,0.577,3.113,0.029,0.441
449,,0.575,3.106,0.033,0.439
450,0.361,0.581,3.156,0.035,0.447
451,,0.555,3.139,0.035,0.418
452,,0.594,3.098,0.024,0.455
453,,0.557,3.096,0.026,0.41
454,,0.538,3.127,0.029,0.404
455,,0.638,3.13,0.028,0.492
456,,0.613,3.137,0.029,0.473
457,,0.537,3.207,0.026,0.401
458,,0.618,3.216,0.027,0.467
459,,0.582,3.288,0.029,0.452
460,,0.685,3.253,0.021,0.53
461,,0.495,3.28,0.028,0.372
462,,0.618,3.251,0.023,0.474
463,,0.588,3.236,0.029,0.448
464,,0.615,3.241,0.029,0.47
465,,0.579,3.232,0.029,0.445
466,,0.571,3.155,0.026,0.432
467,,0.587,3.158,0.024,0.452
468,,0.573,3.142,0.025,0.44
469,,0.545,3.112,0.024,0.411
470,,0.613,3.13,0.031,0.472
471,,0.574,3.118,0.023,0.438
472,,0.576,3.086,0.023,0.445
473,,0.588,3.092,0.019,0.441
474,,0.557,3.098,0.031,0.422
475,0.361,0.582,3.118,0.024,0.445
476,,0.577,3.078,0.018,0.435
477,,0.601,3.068,0.019,0.455
478,,0.592,3.077,0.018,0.452
479,,0.532,3.091,0.022,0.399
480,,0.521,3.109,0.019,0.391
481,,0.568,3.128,0.019,0.425
482,,0.646,3.155,0.024,0.498
483,,0.6,3.148,0.029,0.461
484,,0.554,3.076,0.023,0.404
485,,0.526,3.076,0.026,0.398
486,,0.574,3.093,0.02,0.445
487,,0.534,3.118,0.023,0.398
488,,0.594,3.09,0.027,0.449
489,,0.548,3.062,0.021,0.408
490,,0.584,3.052,0.024,0.443
491,,0.572,3.037,0.026,0.439
492,,0.616,2.986,0.027,0.473
493,,0.601,3.023,0.021,0.462
494,,0.643,3.048,0.024,0.496
495,,0.622,3.059,0.016,0.475
496,,0.617,3.087,0.023,0.479
497,,0.568,3.086,0.02,0.428
498,,0.583,3.1,0.027,0.439
499,,0.553,3.099,0.021,0.414
500,0.372,0.526,3.109,0.019,0.395
