step,val_macro_em,reward_mean,avg_turns,clip_ratio,success_rate
231,,0.553,3.281,0.041,0.42
232,,0.58,3.299,0.036,0.438
233,,0.472,3.305,0.035,0.344
234,,0.587,3.262,0.028,0.455
235,,0.495,3.366,0.035,0.366
236,,0.549,3.33,0.033,0.403
237,,0.581,3.375,0.031,0.446
238,,0.558,3.323,0.03,0.427
239,,0.543,3.338,0.022,0.408
240,,0.572,3.271,0.03,0.438
241,,0.528,3.291,0.028,0.393
242,,0.55,3.28,0.034,0.413
243,,0.582,3.244,0.032,0.446
244,,0.466,3.291,0.033,0.342
245,,0.562,3.288,0.02,0.425
246,,0.516,3.287,0.024,0.383
247,,0.512,3.294,0.027,0.385
248,,0.547,3.284,0.026,0.404
249,,0.518,3.305,0.025,0.395
250,0.332,0.529,3.259,0.019,0.393
251,,0.598,3.234,0.021,0.452
252,,0.543,3.291,0.03,0.415
253,,0.618,3.255,0.029,0.477
254,,0.511,3.241,0.023,0.372
255,,0.565,3.23,0.026,0.43
256,,0.523,3.213,0.021,0.391
257,,0.556,3.255,0.026,0.426
258,,0.522,3.254,0.023,0.388
259,,0.632,3.287,0.018,0.486
260,,0.546,3.291,0.02,0.416
261,,0.6,3.24,0.026,0.463
262,,0.578,3.27,0.019,0.438
263,,0.541,3.266,0.022,0.402
264,,0.519,3.365,0.024,0.392
265,,0.507,3.319,0.016,0.38
266,,0.494,3.325,0.021,0.366
267,,0.56,3.312,0.025,0.419
268,,0.561,3.318,0.02,0.423
269,,0.55,3.351,0.019,0.418
270,,0.513,3.411,0.016,0.385
271,,0.587,3.369,0.017,0.445
272,,0.501,3.374,0.019,0.37
273,,0.497,3.43,0.024,0.366
274,,0.57,3.36,0.015,0.436
275,0.331,0.533,3.366,0.016,0.399
276,,0.608,3.322,0.015,0.46
277,,0.57,3.291,0.016,0.438
278,,0.517,3.291,0.02,0.393
279,,0.507,3.334,0.019,0.374
280,,0.539,3.289,0.02,0.402
281,,0.593,3.267,0.018,0.449
282,,0.583,3.298,0.018,0.443
283,,0.586,3.295,0.015,0.452
284,,0.581,3.305,0.018,0.443
285,,0.591,3.277,0.021,0.446
286,,0.607,3.291,0.02,0.455
287,,0.539,3.417,0.019,0.405
288,,0.52,3.427,0.027,0.392
289,,0.538,3.453,0.026,0.405
290,,0.486,3.416,0.019,0.354
291,,0.546,3.468,0.023,0.409
292,,0.558,3.312,0.026,0.422
293,,0.601,3.376,0.024,0.463
294,,0.564,3.375,0.024,0.428
295,,0.619,3.362,0.017,0.474
296,,0.528,3.362,0.028,0.395
297,,0.535,3.345,0.018,0.4
298,,0.538,3.421,0.019,0.401
299,,0.625,3.273,0.02,0.473
300,0.349,0.553,3.348,0.02,0.42
301,,0.574,3.292,0.018,0.434
302,,0.522,3.353,0.02,0.395
303,,0.54,3.345,0.019,0.411
304,,0.579,3.326,0.02,0.438
305,,0.575,3.278,0.015,0.438
306,,0.557,3.325,0.02,0.422
307,,0.565,3.376,0.02,0.431
308,,0.547,3.29,0.015,0.416
309,,0.557,3.317,0.022,0.423
310,,0.572,3.275,0.019,0.438
311,,0.535,3.32,0.02,0.402
312,,0.565,3.276,0.023,0.427
313,,0.524,3.316,0.018,0.389
314,,0.532,3.329,0.015,0.395
315,,0.591,3.301,0.016,0.448
316,,0.586,3.323,0.014,0.447
317,,0.573,3.333,0.016,0.438
318,,0.534,3.343,0.011,0.397
319,,0.619,3.341,0.012,0.47
320,,0.559,3.386,0.013,0.42
321,,0.607,3.291,0.015,0.471
322,,0.517,3.25,0.015,0.384
323,,0.531,3.333,0.012,0.395
324,,0.531,3.406,0.014,0.399
325,0.355,0.507,3.299,0.013,0.382
326,,0.548,3.43,0.016,0.413
327,,0.535,3.455,0.015,0.402
328,,0.559,3.401,0.015,0.434
329,,0.567,3.363,0.014,0.43
330,,0.581,3.394,0.02,0.44
331,,0.542,3.3,0.024,0.405
332,,0.566,3.336,0.019,0.428
333,,0.525,3.343,0.023,0.391
334,,0.526,3.35,0.02,0.39
335,,0.562,3.295,0.017,0.428
336,,0.54,3.289,0.011,0.409
337,,0.534,3.292,0.013,0.403
338,,0.536,3.326,0.015,0.395
339,,0.562,3.315,0.016,0.428
340,,0.526,3.348,0.022,0.398
341,,0.561,3.405,0.025,0.423
342,,0.549,3.404,0.024,0.416
343,,0.522,3.428,0.024,0.384
344,,0.574,3.327,0.018,0.434
345,,0.586,3.311,0.016,0.449
346,,0.563,3.362,0.017,0.429
347,,0.561,3.399,0.015,0.421
348,,0.505,3.489,0.021,0.376
349,,0.547,3.459,0.013,0.415
350,0.33,0.559,3.419,0.017,0.419
351,,0.542,3.396,0.014,0.407
352,,0.582,3.471,0.019,0.445
353,,0.512,3.448,0.018,0.375
354,,0.552,3.457,0.018,0.414
355,,0.571,3.416,0.014,0.426
356,,0.52,3.477,0.017,0.388
357,,0.581,3.473,0.015,0.441
358,,0.567,3.469,0.016,0.428
359,,0.588,3.4,0.014,0.448
360,,0.607,3.501,0.017,0.457
361,,0.555,3.44,0.015,0.423
362,,0.528,3.433,0.016,0.401
363,,0.594,3.391,0.016,0.456
364,,0.578,3.406,0.016,0.439
365,,0.556,3.449,0.018,0.416
366,,0.517,3.46,0.014,0.387
367,,0.575,3.478,0.018,0.428
368,,0.562,3.537,0.022,0.418
369,,0.609,3.601,0.018,0.463
370,,0.549,3.555,0.02,0.412
371,,0.532,3.572,0.015,0.405
372,,0.578,3.516,0.017,0.44
373,,0.551,3.531,0.019,0.411
374,,0.509,3.503,0.015,0.384
375,0.33,0.533,3.623,0.014,0.398
376,,0.537,3.608,0.015,0.407
377,,0.573,3.668,0.015,0.44
378,,0.55,3.626,0.02,0.415
379,,0.486,3.61,0.018,0.359
380,,0.595,3.59,0.018,0.466
381,,0.551,3.605,0.016,0.415
382,,0.582,3.642,0.012,0.447
383,,0.538,3.663,0.01,0.402
384,,0.524,3.672,0.013,0.398
385,,0.617,3.56,0.015,0.47
386,,0.519,3.628,0.016,0.387
387,,0.556,3.597,0.013,0.42
388,,0.571,3.614,0.016,0.431
389,,0.559,3.643,0.012,0.419
390,,0.623,3.648,0.014,0.48
391,,0.598,3.65,0.011,0.459
392,,0.489,3.737,0.01,0.36
393,,0.54,3.609,0.01,0.403
394,,0.536,3.755,0.01,0.403
395,,0.523,3.77,0.012,0.399
396,,0.529,3.791,0.012,0.392
397,,0.513,3.745,0.009,0.38
398,,0.544,3.88,0.009,0.409
399,,0.525,3.891,0.008,0.391
400,0.324,0.549,3.844,0.008,0.421
401,,0.52,3.888,0.006,0.383
402,,0.545,3.929,0.009,0.409
403,,0.563,3.898,0.007,0.427
404,,0.576,3.859,0.008,0.433
405,,0.62,3.877,0.01,0.473
406,,0.46,3.995,0.01,0.327
407,,0.612,3.964,0.01,0.466
408,,0.529,3.963,0.01,0.398
409,,0.465,3.963,0.007,0.335
410,,0.597,3.965,0.008,0.455
411,,0.603,3.989,0.007,0.452
412,,0.595,3.969,0.008,0.455
413,,0.54,3.962,0.009,0.391
414,,0.568,3.973,0.009,0.43
415,,0.544,3.938,0.007,0.411
416,,0.638,3.973,0.006,0.491
417,,0.538,3.969,0.005,0.402
418,,0.525,3.987,0.005,0.38
419,,0.511,3.974,0.008,0.38
420,,0.574,3.973,0.005,0.434
421,,0.593,3.977,0.005,0.455
422,,0.58,3.97,0.009,0.435
423,,0.566,3.972,0.005,0.424
424,,0.576,3.973,0.005,0.437
425,0.337,0.549,3.973,0.004,0.416
426,,0.499,3.987,0.006,0.374
427,,0.571,3.984,0.005,0.429
428,,0.574,3.987,0.007,0.434
429,,0.459,3.977,0.008,0.324
430,,0.524,3.978,0.008,0.39
431,,0.605,3.973,0.006,0.455
432,,0.519,3.953,0.007,0.391
433,,0.514,3.958,0.008,0.377
