step,val_macro_em,reward_mean,avg_turns,clip_ratio,success_rate
485,,0.43,3.785,0.001,0.43
486,,0.471,3.754,0.0,0.471
487,,0.434,3.58,0.0,0.434
488,,0.512,3.583,0.0,0.512
489,,0.455,3.396,0.0,0.455
490,,0.511,3.332,0.0,0.511
491,,0.467,3.16,0.0,0.467
492,,0.505,3.145,0.001,0.505
493,,0.512,3.134,0.0,0.512
494,,0.526,3.193,0.0,0.526
495,,0.516,3.212,0.0,0.516
496,,0.495,3.267,0.0,0.495
497,,0.473,3.289,0.0,0.473
498,,0.479,3.249,0.0,0.479
499,,0.458,3.43,0.0,0.458
500,0.389,0.427,3.426,0.0,0.427
