step,val_macro_em,reward_mean,avg_turns,clip_ratio,success_rate
227,,0.401,2.884,0.051,0.401
228,,0.397,2.896,0.043,0.397
229,,0.398,2.845,0.033,0.398
230,,0.442,2.775,0.04,0.442
231,,0.412,2.823,0.056,0.412
232,,0.441,2.832,0.042,0.441
233,,0.341,2.868,0.062,0.341
234,,0.459,2.735,0.043,0.459
235,,0.377,2.858,0.04,0.377
236,,0.429,2.74,0.045,0.429
237,,0.441,2.796,0.047,0.441
238,,0.431,2.814,0.055,0.431
239,,0.396,2.861,0.046,0.396
240,,0.412,2.796,0.044,0.412
241,,0.396,2.777,0.033,0.396
242,,0.42,2.914,0.06,0.42
243,,0.452,2.898,0.046,0.452
244,,0.339,3.08,0.057,0.339
245,,0.406,2.866,0.038,0.406
246,,0.386,2.894,0.06,0.386
247,,0.38,2.996,0.06,0.38
248,,0.387,2.965,0.058,0.388
249,,0.38,2.852,0.058,0.38
250,0.344,0.402,2.925,0.047,0.402
251,,0.447,2.885,0.051,0.447
252,,0.419,2.973,0.063,0.419
253,,0.472,2.823,0.055,0.472
254,,0.383,2.863,0.049,0.383
255,,0.428,3.058,0.061,0.428
256,,0.402,2.844,0.039,0.402
257,,0.419,3.021,0.059,0.419
258,,0.412,2.916,0.047,0.412
259,,0.463,3.049,0.057,0.463
260,,0.418,2.928,0.052,0.418
261,,0.469,2.92,0.048,0.469
262,,0.456,3.01,0.045,0.456
263,,0.409,2.945,0.046,0.409
264,,0.387,3.183,0.052,0.387
265,,0.38,3.07,0.055,0.38
266,,0.361,2.95,0.045,0.361
267,,0.431,2.883,0.057,0.431
268,,0.436,2.971,0.041,0.436
269,,0.411,3.045,0.059,0.411
270,,0.397,3.145,0.062,0.397
271,,0.467,2.942,0.051,0.467
272,,0.366,2.927,0.047,0.366
273,,0.404,3.107,0.064,0.404
274,,0.439,2.921,0.047,0.439
275,0.351,0.398,2.988,0.066,0.398
276,,0.438,2.838,0.053,0.438
277,,0.438,2.985,0.052,0.438
278,,0.412,3.052,0.05,0.412
279,,0.383,3.15,0.064,0.383
280,,0.362,2.999,0.055,0.362
281,,0.469,3.086,0.054,0.469
282,,0.428,3.047,0.062,0.428
283,,0.449,3.024,0.05,0.449
284,,0.426,2.912,0.056,0.426
285,,0.451,2.96,0.06,0.451
286,,0.445,2.939,0.046,0.445
287,,0.441,3.125,0.052,0.441
288,,0.423,3.161,0.058,0.423
289,,0.43,3.355,0.051,0.43
290,,0.369,3.18,0.044,0.369
291,,0.423,3.223,0.06,0.423
292,,0.421,3.127,0.059,0.421
293,,0.463,3.106,0.051,0.463
294,,0.427,3.111,0.048,0.427
295,,0.456,3.03,0.05,0.456
296,,0.407,3.105,0.072,0.407
297,,0.42,3.043,0.062,0.42
298,,0.387,3.128,0.066,0.387
299,,0.442,2.951,0.065,0.442
300,0.35,0.426,2.978,0.071,0.426
301,,0.439,2.933,0.067,0.439
302,,0.363,2.938,0.067,0.362
303,,0.424,2.926,0.082,0.424
304,,0.438,2.992,0.096,0.438
305,,0.421,2.959,0.089,0.421
306,,0.423,3.005,0.09,0.423
307,,0.452,3.117,0.087,0.452
308,,0.432,3.05,0.109,0.432
309,,0.411,3.147,0.094,0.411
310,,0.441,3.094,0.087,0.441
311,,0.415,3.043,0.088,0.415
312,,0.391,3.027,0.1,0.391
313,,0.412,3.17,0.091,0.412
314,,0.38,3.223,0.1,0.38
315,,0.446,3.141,0.104,0.446
316,,0.445,3.154,0.107,0.445
317,,0.441,3.278,0.116,0.441
318,,0.414,3.095,0.103,0.414
319,,0.464,3.1,0.104,0.464
320,,0.411,3.327,0.12,0.411
321,,0.469,3.352,0.121,0.469
322,,0.415,3.166,0.115,0.415
323,,0.383,3.413,0.126,0.383
324,,0.39,3.51,0.138,0.39
325,0.35,0.377,3.226,0.121,0.377
326,,0.431,3.408,0.137,0.431
327,,0.416,3.417,0.125,0.416
328,,0.427,3.505,0.129,0.427
329,,0.445,3.308,0.123,0.445
330,,0.443,3.237,0.134,0.443
331,,0.436,3.276,0.124,0.436
332,,0.448,3.294,0.128,0.448
333,,0.372,3.305,0.125,0.372
334,,0.39,3.263,0.129,0.39
335,,0.425,3.249,0.102,0.425
336,,0.38,3.28,0.109,0.38
337,,0.404,3.352,0.114,0.404
338,,0.413,3.264,0.101,0.413
339,,0.406,3.262,0.128,0.406
340,,0.414,3.212,0.129,0.414
341,,0.431,3.284,0.13,0.431
342,,0.42,3.277,0.131,0.42
343,,0.41,3.177,0.106,0.41
344,,0.455,3.013,0.102,0.455
345,,0.432,3.116,0.099,0.432
346,,0.434,3.234,0.119,0.434
347,,0.43,3.125,0.104,0.43
348,,0.401,3.193,0.105,0.401
349,,0.409,3.241,0.102,0.409
350,0.338,0.445,3.175,0.094,0.445
351,,0.409,3.113,0.08,0.409
352,,0.432,3.246,0.093,0.432
353,,0.414,3.037,0.089,0.414
354,,0.373,3.042,0.084,0.373
355,,0.435,3.134,0.095,0.435
356,,0.396,3.079,0.089,0.396
357,,0.439,3.159,0.091,0.439
358,,0.419,3.203,0.095,0.419
359,,0.471,3.022,0.084,0.471
360,,0.467,3.023,0.082,0.467
361,,0.43,3.185,0.079,0.43
362,,0.436,3.088,0.085,0.436
363,,0.459,3.129,0.068,0.459
