step,val_macro_em,reward_mean,avg_turns,clip_ratio,success_rate
419,,0.375,3.982,0.75,0.375
420,,0.446,3.968,0.748,0.446
421,,0.419,3.958,0.749,0.419
422,,0.436,3.987,0.752,0.436
423,,0.412,3.997,0.755,0.412
424,,0.446,3.999,0.752,0.446
425,0.352,0.43,3.998,0.752,0.43
426,,0.391,3.996,0.753,0.391
427,,0.436,4.0,0.755,0.436
428,,0.448,4.0,0.753,0.448
429,,0.345,3.998,0.754,0.345
430,,0.419,3.992,0.752,0.419
431,,0.448,3.997,0.752,0.448
432,,0.394,3.995,0.753,0.394
433,,0.357,3.988,0.751,0.357
434,,0.462,3.977,0.751,0.462
435,,0.448,3.997,0.752,0.448
436,,0.371,3.999,0.753,0.371
437,,0.408,3.999,0.752,0.408
438,,0.443,4.0,0.755,0.443
439,,0.418,3.998,0.754,0.418
440,,0.413,3.997,0.754,0.413
441,,0.416,3.997,0.752,0.416
442,,0.38,3.995,0.752,0.38
443,,0.398,3.993,0.752,0.398
444,,0.47,3.995,0.752,0.47
445,,0.407,3.984,0.752,0.407
446,,0.42,3.988,0.75,0.42
447,,0.455,3.976,0.75,0.455
448,,0.436,3.995,0.751,0.436
449,,0.432,3.977,0.75,0.432
450,0.356,0.409,3.987,0.752,0.409
451,,0.433,3.999,0.752,0.433
452,,0.456,4.0,0.753,0.456
453,,0.396,3.999,0.756,0.396
454,,0.395,3.997,0.753,0.395
455,,0.464,3.996,0.753,0.464
456,,0.442,3.998,0.752,0.442
457,,0.409,3.986,0.751,0.409
458,,0.479,3.994,0.752,0.479
459,,0.443,3.987,0.751,0.443
460,,0.506,3.995,0.752,0.506
461,,0.377,3.992,0.752,0.377
462,,0.459,3.984,0.751,0.459
463,,0.435,3.99,0.751,0.435
464,,0.453,3.988,0.751,0.453
465,,0.43,3.968,0.747,0.43
466,,0.425,3.977,0.75,0.425
467,,0.428,3.999,0.752,0.428
468,,0.421,3.999,0.754,0.421
469,,0.391,3.998,0.752,0.391
470,,0.44,3.994,0.754,0.44
471,,0.415,3.998,0.752,0.415
472,,0.395,3.989,0.752,0.395
473,,0.439,3.982,0.75,0.439
474,,0.388,3.979,0.753,0.388
475,0.345,0.402,3.996,0.754,0.402
476,,0.406,4.0,0.754,0.406
477,,0.429,3.999,0.753,0.429
478,,0.412,4.0,0.757,0.412
479,,0.387,3.998,0.754,0.388
480,,0.416,4.0,0.755,0.416
481,,0.417,3.995,0.752,0.417
482,,0.505,3.999,0.754,0.505
483,,0.434,3.995,0.755,0.434
484,,0.393,3.997,0.754,0.393
485,,0.384,3.989,0.754,0.384
486,,0.45,3.994,0.753,0.45
487,,0.387,3.994,0.754,0.387
488,,0.435,3.991,0.752,0.435
489,,0.4,3.978,0.752,0.4
490,,0.454,3.99,0.755,0.454
491,,0.413,3.998,0.753,0.413
492,,0.459,3.996,0.756,0.459
493,,0.438,3.995,0.753,0.438
494,,0.471,3.993,0.756,0.471
495,,0.477,3.997,0.754,0.477
496,,0.451,3.994,0.757,0.451
497,,0.444,3.991,0.755,0.444
498,,0.432,3.991,0.754,0.432
499,,0.403,3.942,0.75,0.403
500,0.357,0.364,3.977,0.754,0.364
