step,val_macro_em,reward_mean,avg_turns,clip_ratio,success_rate
413,,0.571,3.123,0.103,0.424
414,,0.568,3.088,0.121,0.434
415,,0.56,3.369,0.137,0.427
416,,0.633,3.188,0.103,0.491
417,,0.553,3.204,0.136,0.42
418,,0.519,3.245,0.137,0.377
419,,0.52,3.358,0.148,0.391
420,,0.578,3.213,0.14,0.441
421,,0.583,3.305,0.149,0.447
422,,0.561,3.271,0.156,0.423
423,,0.565,3.448,0.167,0.429
424,,0.576,3.343,0.149,0.439
425,0.341,0.546,3.677,0.195,0.418
426,,0.536,3.651,0.185,0.41
427,,0.563,3.666,0.181,0.423
428,,0.578,3.304,0.149,0.44
429,,0.51,3.602,0.186,0.373
430,,0.538,3.57,0.17,0.405
431,,0.619,3.505,0.172,0.472
432,,0.553,3.545,0.181,0.421
433,,0.52,3.541,0.175,0.384
434,,0.599,3.619,0.174,0.462
435,,0.585,3.66,0.176,0.44
436,,0.512,3.699,0.189,0.366
437,,0.528,3.485,0.193,0.396
438,,0.594,3.407,0.204,0.451
439,,0.529,3.411,0.179,0.4
440,,0.54,3.572,0.202,0.399
441,,0.566,3.612,0.197,0.423
442,,0.558,3.505,0.194,0.418
443,,0.555,3.41,0.19,0.416
444,,0.602,3.463,0.229,0.456
445,,0.537,3.546,0.206,0.398
446,,0.56,3.544,0.193,0.438
447,,0.596,3.391,0.191,0.457
448,,0.577,3.581,0.235,0.442
449,,0.562,3.558,0.221,0.43
450,0.348,0.557,3.477,0.211,0.428
451,,0.581,3.412,0.202,0.445
452,,0.572,3.406,0.202,0.433
453,,0.546,3.441,0.234,0.401
454,,0.532,3.641,0.244,0.405
455,,0.651,3.439,0.214,0.505
456,,0.556,3.46,0.211,0.423
457,,0.509,3.538,0.228,0.379
458,,0.586,3.373,0.206,0.441
459,,0.582,3.62,0.228,0.451
460,,0.667,3.403,0.227,0.52
461,,0.488,3.555,0.227,0.373
462,,0.587,3.337,0.199,0.45
463,,0.53,3.377,0.225,0.399
464,,0.602,3.443,0.21,0.463
465,,0.552,3.45,0.227,0.42
466,,0.544,3.575,0.25,0.412
467,,0.578,3.483,0.222,0.449
468,,0.557,3.53,0.226,0.43
469,,0.527,3.588,0.243,0.397
470,,0.574,3.639,0.233,0.441
471,,0.56,3.738,0.244,0.427
472,,0.547,3.688,0.234,0.418
473,,0.562,3.713,0.255,0.421
474,,0.519,3.853,0.262,0.39
475,0.346,0.545,3.766,0.241,0.414
476,,0.548,3.692,0.24,0.411
477,,0.562,3.844,0.255,0.42
478,,0.569,3.851,0.265,0.429
479,,0.508,3.805,0.264,0.378
480,,0.537,3.759,0.252,0.409
481,,0.55,3.78,0.27,0.413
482,,0.653,3.437,0.225,0.509
483,,0.57,3.624,0.24,0.434
484,,0.534,3.458,0.224,0.39
485,,0.525,3.643,0.243,0.402
486,,0.564,3.666,0.235,0.435
487,,0.513,3.538,0.244,0.384
488,,0.61,3.28,0.201,0.469
489,,0.539,3.433,0.22,0.399
490,,0.601,3.435,0.219,0.462
491,,0.544,3.484,0.223,0.413
492,,0.598,3.351,0.212,0.459
493,,0.583,3.547,0.239,0.448
494,,0.6,3.334,0.224,0.46
495,,0.589,3.495,0.257,0.447
496,,0.571,3.478,0.243,0.438
497,,0.555,3.62,0.27,0.419
498,,0.554,3.516,0.24,0.42
499,,0.562,3.546,0.253,0.427
500,0.343,0.495,3.636,0.268,0.367
